LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
2411110062012052117034325250910,,Inner London & City Family Proceedings Court,,W1A 3AE,125916550000,74,71,127,C,119,66,0,General Office,2012-05-21,E09000033,E14000639,Greater London Authority,2012-05-21,General Office,Natural Gas,,,,3361,101,116,65,95,0,0,141,156,57,74,0,0,Yes,,2,5,Air Conditioning,C1;,Inner London & City Family Proceedings Court,Westminster,Cities of London and Westminster,LONDON,2011-10-01,2011-10-01,2012-05-21 17:03:43,Standard Occupancy,,
105730902009092215302386600910,,Transport for London,"Windsor House, 42-50 Victoria Street",SW1H 0TL,194163680000,160,176,191,G,1649,423,,General office,2009-09-16,E09000033,E14000639,Greater London Authority,2009-09-22,General office,Natural Gas,,,,14759,148,127,203,115,0,0,1772,1955,422,356,,,Yes,,3,1,Air Conditioning,C1;,"Transport for London, Windsor House, 42-50 Victoria Street",Westminster,Cities of London and Westminster,LONDON,2009-09-30,2009-07-31,2009-09-22 15:30:23,,,
75369750942018091215144502300910,,58 Princes Gate,,SW7 2PG,193885300000,124,119,137,E,93,59,0,University Campus,2018-09-12,E09000033,E14000639,Greater London Authority,2018-09-12,University Campus,Natural Gas,,,,1392,217,224,121,80,0,0,96,105,46,56,0,0,No,,,4,Heating and Natural Ventilation,S4;,58 Princes Gate,Westminster,Cities of London and Westminster,LONDON,2018-09-01,2018-08-01,2018-09-12 15:14:45,Standard Occupancy,100023378691,Address Matched
16286030442016091914351685800910,,Metropolitan Police,"West End Central Police Station, 27 Savile Row",W1S 2EX,247563880000,287,298,320,G,750,201,0,Emergency Services,2016-09-15,E09000033,E14000639,Greater London Authority,2016-09-19,Emergency Services,Natural Gas,,,,3165,328,341,431,70,0,0,770,825,236,269,0,0,Yes,,2,3,Mixed-mode with Mechanical Ventilation,S9;,"Metropolitan Police, West End Central Police Station, 27 Savile Row",Westminster,Cities of London and Westminster,LONDON,2016-05-01,2016-03-31,2016-09-19 14:35:16,Standard Occupancy,,
4788070442013112519022507500910,,Lillian Penson Hall University of London,Talbot Square,W2 1TT,548837500000,137,146,,F,300,638,0,General accommodation,2013-09-13,E09000033,E14000639,Greater London Authority,2013-11-25,General accommodation,Natural Gas,,,,6450,374,341,84,73,0,0,345,,585,,0,,Yes,,2,1,Heating and Natural Ventilation,S8;,"Lillian Penson Hall University of London, Talbot Square",Westminster,Cities of London and Westminster,LONDON,2013-10-01,2013-10-01,2013-11-25 19:02:25,Extended Occupancy,100023476732,Address Matched
2184930142009092215145575210910,BROADWAY COMPLEX,London Underground,55 Broadway,SW1H 0BD,710783270001,173,170,177,G,3315,618,,General office,2009-09-15,E09000033,E14000639,Greater London Authority,2009-09-22,General office,Natural Gas,,,,24907,128,130,242,120,0,0,3196,3229,492,524,,,Yes,,3,1,Mixed-mode with Natural Ventilation,C1;,"BROADWAY COMPLEX, London Underground, 55 Broadway",Westminster,Cities of London and Westminster,LONDON,2009-09-30,2009-07-31,2009-09-22 15:14:55,,,
1481590242013121909554438200910,,Fielden House,"13, Little College Street",SW1P 3SH,721809230000,149,132,126,F,188,0,0,General Office,2013-09-18,E09000033,E14000639,Greater London Authority,2013-12-19,General Office,Grid Supplied Electricity,,,,1719,0,134,239,113,0,0,159,186,0,0,0,0,No,,,5,Air Conditioning,C1;,"Fielden House, 13, Little College Street",Westminster,Cities of London and Westminster,LONDON,2013-05-01,2013-05-02,2013-12-19 09:55:44,Extended Occupancy,10033605297,Address Matched
2755780402015091115080619500910,,Home Office,2 Marsham Street,SW1P 4DF,840378510000,114,112,112,E,6160,304,0,Covered Car Park; Fitness And Health Centre; General Office; Restaurant,2015-09-11,E09000033,E14000639,Greater London Authority,2015-09-11,General Office,Natural Gas,,,,68797,23,125,163,106,0,0,5993,6144,298,440,0,0,Yes,6000,,2,Air Conditioning,S1; H7; C1; H1;,"Home Office, 2 Marsham Street",Westminster,Cities of London and Westminster,LONDON,2015-09-19,2015-06-30,2015-09-11 15:08:06,Standard Occupancy,10033602695,Address Matched
1745830502013121910043988600910,,Palace of Westminster,,SW1A 0AA,853883680000,115,114,124,E,8272,3715,0,General Office; Cultural Activities; General Accommodation; Covered Car Park; Restaurant,2013-09-18,E09000033,E14000639,Greater London Authority,2013-12-19,General Office,Natural Gas,,,,122223,157,138,123,107,0,0,8058,8555,3311,4030,0,0,No,,,5,Heating and Natural Ventilation,C1; H4; S8; S1; H1;,Palace of Westminster,Westminster,Cities of London and Westminster,LONDON,2013-05-01,2013-04-03,2013-12-19 10:04:39,Extended Occupancy,,
4492760802012050818051323400920,,Regents College,"Regents Park, Inner Circle",NW1 4NS,482406420000,114,117,,E,1532,678,0,University Campus,2012-02-17,E09000033,E14001036,Greater London Authority,2012-05-08,University Campus,Natural Gas,,,,22771,153,212,122,80,0,0,1573,,836,,0,,Yes,,3,5,Heating and Natural Ventilation,S4;,"Regents College, Regents Park, Inner Circle",Westminster,Westminster North,LONDON,2011-12-27,2011-12-27,2012-05-08 18:05:13,Standard Occupancy,10033555129,Address Matched
