Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number
of meters
","Total 
consumption
(kWh)","Mean 
consumption
(kWh per meter)","Median 
consumption
(kWh per meter)","Number of
non-consuming meters"
E09000033,Westminster,E02000960,Westminster 001,E01004647,Westminster 001A,615,9493016,15436,9902,14
E09000033,Westminster,E02000960,Westminster 001,E01004649,Westminster 001B,535,9433882,17633,14180,23
E09000033,Westminster,E02000960,Westminster 001,E01004724,Westminster 001C,735,8024774,10918,8514,15
E09000033,Westminster,E02000960,Westminster 001,E01004730,Westminster 001D,682,7203515,10562,7635,38
E09000033,Westminster,E02000961,Westminster 002,E01004646,Westminster 002A,543,12953461,23855,17687,9
E09000033,Westminster,E02000961,Westminster 002,E01004648,Westminster 002B,960,15132421,15763,10697,24
E09000033,Westminster,E02000961,Westminster 002,E01004650,Westminster 002C,750,13371637,17829,13062,20
E09000033,Westminster,E02000961,Westminster 002,E01004710,Westminster 002D,526,5366804,10203,9379,10
E09000033,Westminster,E02000961,Westminster 002,E01004711,Westminster 002E,753,7225749,9596,8545,8
E09000033,Westminster,E02000962,Westminster 003,E01004651,Westminster 003A,318,3912681,12304,7494,24
E09000033,Westminster,E02000962,Westminster 003,E01004725,Westminster 003B,678,6844507,10095,7382,23
E09000033,Westminster,E02000962,Westminster 003,E01004726,Westminster 003C,558,8402810,15059,8406,24
E09000033,Westminster,E02000962,Westminster 003,E01004728,Westminster 003D,575,4091090,7115,5149,27
E09000033,Westminster,E02000962,Westminster 003,E01004729,Westminster 003E,544,5662363,10409,6646,10
E09000033,Westminster,E02000963,Westminster 004,E01004718,Westminster 004A,794,8889161,11195,10189,16
E09000033,Westminster,E02000963,Westminster 004,E01004719,Westminster 004B,800,9242712,11553,10730,10
E09000033,Westminster,E02000963,Westminster 004,E01004720,Westminster 004C,820,9754566,11896,11004,10
E09000033,Westminster,E02000963,Westminster 004,E01004721,Westminster 004D,677,6340504,9366,8455,28
E09000033,Westminster,E02000963,Westminster 004,E01004722,Westminster 004E,763,7005627,9182,8070,19
E09000033,Westminster,E02000964,Westminster 005,E01004674,Westminster 005A,731,7336957,10037,9194,12
E09000033,Westminster,E02000964,Westminster 005,E01004675,Westminster 005B,960,8085745,8423,6943,20
E09000033,Westminster,E02000964,Westminster 005,E01004677,Westminster 005C,835,8465348,10138,9006,10
E09000033,Westminster,E02000964,Westminster 005,E01004678,Westminster 005D,804,8193735,10191,8995,21
E09000033,Westminster,E02000964,Westminster 005,E01004679,Westminster 005E,789,7513224,9522,7645,20
E09000033,Westminster,E02000964,Westminster 005,E01004723,Westminster 005F,939,9345833,9953,8658,17
E09000033,Westminster,E02000965,Westminster 006,E01004676,Westminster 006A,800,8189970,10237,8628,9
E09000033,Westminster,E02000965,Westminster 006,E01004706,Westminster 006B,744,8684058,11672,10706,5
E09000033,Westminster,E02000965,Westminster 006,E01004707,Westminster 006C,858,12296968,14332,12846,4
E09000033,Westminster,E02000965,Westminster 006,E01004708,Westminster 006D,745,7487469,10050,9202,7
E09000033,Westminster,E02000965,Westminster 006,E01004756,Westminster 006E,846,8088946,9561,8263,14
E09000033,Westminster,E02000966,Westminster 007,E01004701,Westminster 007A,641,7897502,12321,9920,18
E09000033,Westminster,E02000966,Westminster 007,E01004703,Westminster 007B,904,15392487,17027,13188,11
E09000033,Westminster,E02000966,Westminster 007,E01004705,Westminster 007D,688,9797121,14240,10892,13
E09000033,Westminster,E02000966,Westminster 007,E01004709,Westminster 007E,791,9816915,12411,10860,13
E09000033,Westminster,E02000966,Westminster 007,E01033600,Westminster 007F,608,7621099,12535,9678,14
E09000033,Westminster,E02000966,Westminster 007,E01033608,Westminster 007G,641,7239121,11293,9419,10
E09000033,Westminster,E02000967,Westminster 008,E01004659,Westminster 008A,651,6836012,10501,8286,15
E09000033,Westminster,E02000967,Westminster 008,E01004660,Westminster 008B,615,5932532,9646,6854,40
E09000033,Westminster,E02000967,Westminster 008,E01004712,Westminster 008C,780,7748347,9934,7463,30
E09000033,Westminster,E02000967,Westminster 008,E01004727,Westminster 008D,724,7399817,10221,5747,70
E09000033,Westminster,E02000968,Westminster 009,E01004670,Westminster 009A,669,5747464,8591,8323,40
E09000033,Westminster,E02000968,Westminster 009,E01004702,Westminster 009E,843,8591414,10191,8710,16
