MSOA code,Middle layer super output area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E02000960,Westminster 001,"68,979,486","63,384,424","60,677,135","64,578,863","58,404,782","62,543,857","61,422,122","61,422,122","54,190,005","55,425,908","55,343,746"
E02000961,Westminster 002,"30,222,471","30,611,128","30,387,163","30,057,225","28,157,656","27,053,059","25,218,488","25,218,488","29,709,921","28,906,997","30,475,103"
E02000962,Westminster 003,"66,304,504","70,384,609","61,626,640","67,960,753","68,921,539","68,244,387","61,104,098","61,104,098","61,737,659","64,545,044","56,495,027"
E02000963,Westminster 004,"10,240,969","14,821,070","11,350,146","11,040,147","10,652,816","9,915,832","8,930,442","8,930,442","12,448,542","10,728,048","12,229,490"
E02000964,Westminster 005,"12,702,606","10,043,590","9,750,348","10,228,927","9,601,162","9,970,902","10,083,706","10,083,706","9,730,371","9,256,414","8,962,482"
E02000965,Westminster 006,"8,545,248","9,766,939","8,239,030","10,194,187","8,676,530","8,659,404","8,536,132","8,536,132","10,530,958","9,951,107","9,960,805"
E02000966,Westminster 007,"10,497,815","9,854,251","12,555,296","14,361,288","10,819,677","10,930,734","9,962,822","9,962,822","12,544,665","12,314,771","13,277,603"
E02000967,Westminster 008,"80,874,269","78,221,328","76,124,335","87,613,777","77,075,754","75,583,241","72,537,271","72,537,271","77,231,607","71,162,252","66,136,272"
E02000968,Westminster 009,"39,565,192","35,574,747","36,343,056","34,344,226","33,928,701","32,947,619","32,432,790","32,432,790","33,753,972","31,208,910","32,780,743"
E02000969,Westminster 010,"18,803,557","18,272,841","17,800,352","18,002,281","18,244,082","18,465,525","16,499,073","16,499,073","18,551,260","19,119,585","19,191,412"
E02000970,Westminster 011,"194,870,220","190,076,921","187,826,957","188,646,255","188,705,144","180,013,931","169,389,230","169,389,230","177,559,517","174,602,035","167,333,857"
E02000971,Westminster 012,"110,927,878","108,936,735","89,368,500","90,232,800","91,532,974","83,537,827","73,325,023","73,325,023","74,924,810","76,300,587","69,881,255"
E02000972,Westminster 013,"323,233,414","307,629,050","316,816,280","314,843,433","311,006,331","317,383,692","306,734,384","306,734,384","305,113,268","308,777,295","228,868,098"
E02000973,Westminster 014,"21,922,629","19,893,725","20,619,219","20,531,506","21,124,445","20,064,974","19,194,326","19,194,326","21,101,328","18,373,992","16,011,262"
E02000974,Westminster 015,"125,758,039","120,840,371","119,955,149","131,992,930","127,177,824","125,197,885","124,239,586","124,239,586","141,332,644","124,505,280","119,162,001"
E02000975,Westminster 016,"71,686,785","61,659,493","64,818,158","60,638,895","57,953,659","54,495,534","56,638,823","56,638,823","59,304,174","57,898,399","50,294,098"
E02000976,Westminster 017,"84,613,656","76,743,383","76,782,914","79,478,928","77,733,402","77,534,057","73,729,898","73,729,898","74,742,945","63,320,116","54,625,976"
E02000977,Westminster 018,"695,881,911","663,450,621","659,848,018","633,097,019","626,506,622","608,844,465","598,584,982","598,584,982","629,627,660","572,340,832","485,358,231"
E02000978,Westminster 019,"342,621,901","336,558,054","352,073,647","374,767,484","358,301,202","283,703,479","343,754,639","343,754,639","365,637,426","347,237,492","360,552,213"
E02000979,Westminster 020,"213,124,146","203,147,071","226,876,762","203,343,241","198,791,248","206,242,449","197,434,136","197,434,136","214,266,600","195,445,998","198,480,449"
E02000980,Westminster 021,"47,170,971","37,785,972","37,604,077","40,523,203","51,652,789","48,120,535","49,276,998","49,276,998","51,288,332","50,628,548","52,048,344"
E02000981,Westminster 022,"24,918,429","23,624,228","24,109,554","26,150,828","28,417,790","26,015,545","22,899,345","22,899,345","26,431,336","20,169,157","18,644,374"
E02000982,Westminster 023,"48,342,141","45,999,174","43,677,125","48,377,141","49,295,476","43,756,818","46,821,630","46,821,630","44,581,084","41,187,441","53,745,509"
E02000983,Westminster 024,"88,634,080","69,161,118","97,008,416","94,488,046","98,524,603","99,317,803","106,016,490","106,016,490","115,552,736","44,736,736","32,072,587"
