MSOA code,Middle layer super output area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E02000960,Westminster 001,124,120,115,116,107,113,122,117,111,112,109
E02000961,Westminster 002,152,140,136,123,122,118,114,120,133,128,141
E02000962,Westminster 003,122,120,113,107,105,107,107,104,107,114,111
E02000963,Westminster 004,20,20,19,18,18,20,20,18,21,17,20
E02000964,Westminster 005,33,28,26,27,27,30,30,31,31,31,31
E02000965,Westminster 006,23,26,25,27,29,24,25,23,29,29,28
E02000966,Westminster 007,70,66,64,67,61,66,69,79,75,72,80
E02000967,Westminster 008,151,144,140,135,128,128,131,144,139,126,126
E02000968,Westminster 009,65,64,63,65,59,60,63,61,58,55,55
E02000969,Westminster 010,54,54,49,48,51,49,49,46,52,52,59
E02000970,Westminster 011,541,527,513,511,482,485,490,478,486,462,444
E02000971,Westminster 012,168,173,166,169,171,157,152,156,150,146,135
E02000972,Westminster 013,777,766,748,774,794,759,764,728,726,680,562
E02000973,Westminster 014,79,74,74,74,81,79,75,77,89,74,63
E02000974,Westminster 015,239,239,222,233,228,219,212,229,242,215,179
E02000975,Westminster 016,163,162,167,165,167,168,165,167,165,156,151
E02000976,Westminster 017,197,193,186,189,195,186,192,191,190,171,158
E02000977,Westminster 018,"1,104","1,098","1,074","1,065","1,054","1,045","1,035","1,028","1,022",962,791
E02000978,Westminster 019,491,465,471,458,465,451,452,456,458,444,424
E02000979,Westminster 020,337,316,298,310,303,318,309,302,300,278,256
E02000980,Westminster 021,58,55,57,53,61,55,52,55,62,55,52
E02000981,Westminster 022,128,124,120,126,118,113,105,110,109,97,88
E02000982,Westminster 023,102,92,93,93,93,82,89,93,97,82,92
E02000983,Westminster 024,25,23,25,26,26,27,25,26,31,32,28
