POSTCODE,Number of meters,Consumption (kWh),Mean consumption (kWh),Median consumption (kWh)
NW1 4NR,5,160494.55984,32098.911968,38363.006924
NW1 4PP,7,113749.75272,16249.964674,12446.092977
NW1 4RD,9,4654.7972305,517.19969227,363.99604352
NW1 4RH,9,148903.06627,16544.785141,15942.631058
NW1 4RJ,18,443728.98121,24651.610067,17916.913947
NW1 4RP,18,795876.36004,44215.353336,48340.257171
NW1 4RY,9,199818.9911,22202.110122,23982.195846
NW1 4SJ,26,412927.79426,15881.838241,13615.232443
NW1 5AN,13,183330.36597,14102.335844,17804.154303
NW1 5AX,5,111926.80514,22385.361029,13948.565776
NW1 5AY,6,100921.85955,16820.309924,7949.0603363
NW1 5BA,5,115855.58853,23171.117705,24342.23541
NW1 5BB,6,116821.95846,19470.326409,20179.525223
NW1 5BD,6,132720.07913,22120.013188,24001.978239
NW1 5BJ,13,283960.43521,21843.110401,17557.863501
NW1 5BN,11,202784.37191,18434.942901,17898.120673
NW1 5DB,13,119902.07715,9223.2367039,7583.5806133
NW1 5DE,23,149652.81899,6506.644304,6142.4332344
NW1 5DP,19,263130.5638,13848.977042,9940.652819
NW1 5DR,29,170024.72799,5862.9216549,5738.8724036
NW1 5EA,7,110586.54797,15798.078282,16990.108803
NW1 5EB,6,180691.39466,30115.232443,21959.446093
NW1 5ED,5,72297.725025,14459.545005,13447.082097
NW1 5EE,10,131658.75371,13165.875371,12713.649852
NW1 5EF,11,106365.97428,9669.6340257,11052.423343
NW1 5EG,12,114591.49357,9549.2911309,6872.4035608
NW1 5EN,7,114415.43027,16345.061467,12748.7636
NW1 5ER,11,196737.88328,17885.262117,14267.062315
NW1 5ES,12,240739.86152,20061.655127,18922.354105
NW1 5EW,7,78993.076162,11284.725166,14119.683482
NW1 5LL,22,352958.45697,16043.566226,14354.104847
NW1 5NP,49,466153.31355,9513.3329296,8995.0544016
NW1 5NR,71,473823.9367,6673.5765732,6106.8249258
NW1 5NT,27,222327.39862,8234.3480969,8093.9663699
NW1 5NU,6,60883.283877,10147.21398,9446.0929773
NW1 5NX,5,100233.43225,20046.686449,13059.347181
NW1 5NY,75,629878.33828,8398.3778437,8168.1503462
NW1 6AH,16,116871.41444,7304.4634026,6755.1928783
NW1 6AL,20,296100.89021,14805.04451,15696.340257
NW1 6AN,19,149355.09397,7860.7944193,6799.2087043
NW1 6AP,21,171847.67557,8183.2226461,6853.6102868
NW1 6AU,10,95556.874382,9555.6874382,8220.5736894
NW1 6AY,20,231857.56677,11592.878338,11813.05638
NW1 6BA,20,224382.78932,11219.139466,11042.532146
NW1 6BU,15,265458.95153,17697.263436,9345.2027695
NW1 6BY,9,78850.642928,8761.1825475,6588.5262117
NW1 6DB,24,332658.75371,13860.781405,12430.761622
NW1 6DS,12,80694.362018,6724.5301682,6322.9475767
NW1 6DX,27,449823.9367,16660.145804,8973.2937685
NW1 6EJ,66,371530.16815,5629.244972,4128.5855589
NW1 6EP,22,209796.24135,9536.1927884,9364.9851632
NW1 6ER,21,281457.96241,13402.760115,12235.410485
NW1 6ES,17,272237.38872,16013.964043,14389.713155
NW1 6EU,6,96396.636993,16066.106166,14427.794263
NW1 6EW,52,452572.7003,8703.3211596,7085.0642928
NW1 6EX,20,213076.16222,10653.808111,10814.540059
NW1 6EY,12,110332.34421,9194.3620178,9373.3926805
NW1 6HA,17,97452.027695,5732.4722174,5020.7715134
NW1 6HD,31,215262.11672,6943.9392489,6431.256182
NW1 6HE,23,235011.86944,10217.907367,7783.3827893
NW1 6HG,5,35205.736894,7041.1473788,5797.2304649
NW1 6HH,21,262518.29871,12500.871367,9754.6983185
NW1 6HL,9,131888.22948,14654.24772,15141.444115
NW1 6HS,7,115405.53907,16486.505581,7938.6745796
NW1 6HT,10,186284.86647,18628.486647,13988.130564
NW1 6HU,12,197116.71612,16426.39301,16983.184965
NW1 6JX,39,239463.89713,6140.0999265,4979.2284866
NW1 6LE,32,422852.62117,13214.144411,9584.5697329
NW1 6ND,67,802798.21958,11982.062979,9260.1384768
NW1 6NE,49,422964.39169,8631.926361,7357.0722057
NW1 6NG,13,112282.88823,8637.1452484,7283.8773492
NW1 6NN,7,61579.624135,8797.0891621,9785.3610287
NW1 6QG,13,174665.67755,13435.82135,12021.760633
NW1 6QJ,19,158120.6726,8322.1406632,7109.7922849
NW1 6QN,18,206054.40158,11447.466755,11325.420376
NW1 6QP,21,314006.92384,14952.710659,11612.265084
NW1 6QR,21,244334.32245,11634.967736,11008.902077
NW1 6QS,21,199184.96538,9484.9983515,8391.6913947
NW1 6RG,46,326258.16024,7092.5687008,6602.3738872
NW1 6RH,30,179888.22948,5996.2743159,4930.2670623
NW1 6RL,6,48658.753709,8109.7922849,8000.9891197
NW1 6RN,16,72306.627102,4519.1641939,4326.9040554
NW1 6RP,31,179640.94955,5794.8693405,5618.1998022
NW1 6RQ,68,442181.99802,6502.6764415,5986.1523244
NW1 6RU,7,88225.519288,12603.645613,12034.619189
NW1 6SL,24,188860.53412,7869.1889219,5829.3768546
NW1 6SP,20,232834.81701,11641.740851,11766.073195
NW1 6SX,19,148416.41939,7811.390494,5318.4965381
NW1 6SY,45,518378.83284,11519.529619,10979.228487
