MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,domestic properties,gas meters,not on the gas grid,not percentage,on percentage
E02000960,Westminster 001,E01004647,Westminster 001A,790,629,160,20%,0.796202532
E02000960,Westminster 001,E01004649,Westminster 001B,800,558,240,30%,0.6975
E02000960,Westminster 001,E01004724,Westminster 001C,990,750,240,24%,0.757575758
E02000960,Westminster 001,E01004730,Westminster 001D,"1,000",720,280,28%,0.72
E02000961,Westminster 002,E01004646,Westminster 002A,660,552,110,17%,0.836363636
E02000961,Westminster 002,E01004648,Westminster 002B,"1,220",984,240,20%,0.806557377
E02000961,Westminster 002,E01004650,Westminster 002C,"1,040",770,270,26%,0.740384615
E02000961,Westminster 002,E01004710,Westminster 002D,570,536,30,5%,0.940350877
E02000961,Westminster 002,E01004711,Westminster 002E,790,761,30,4%,0.963291139
E02000962,Westminster 003,E01004651,Westminster 003A,"1,310",342,970,74%,0.261068702
E02000962,Westminster 003,E01004725,Westminster 003B,"1,020",701,320,31%,0.687254902
E02000962,Westminster 003,E01004726,Westminster 003C,940,582,360,38%,0.619148936
E02000962,Westminster 003,E01004728,Westminster 003D,910,602,310,34%,0.661538462
E02000962,Westminster 003,E01004729,Westminster 003E,910,554,360,40%,0.608791209
E02000963,Westminster 004,E01004718,Westminster 004A,850,810,40,5%,0.952941176
E02000963,Westminster 004,E01004719,Westminster 004B,820,810,10,1%,0.987804878
E02000963,Westminster 004,E01004720,Westminster 004C,840,830,10,1%,0.988095238
E02000963,Westminster 004,E01004721,Westminster 004D,880,705,180,20%,0.801136364
E02000963,Westminster 004,E01004722,Westminster 004E,880,782,100,11%,0.888636364
E02000964,Westminster 005,E01004674,Westminster 005A,830,743,90,11%,0.895180723
E02000964,Westminster 005,E01004675,Westminster 005B,"1,160",980,180,16%,0.844827586
E02000964,Westminster 005,E01004677,Westminster 005C,880,845,40,5%,0.960227273
E02000964,Westminster 005,E01004678,Westminster 005D,870,825,50,6%,0.948275862
E02000964,Westminster 005,E01004679,Westminster 005E,"1,030",809,220,21%,0.785436893
E02000964,Westminster 005,E01004723,Westminster 005F,"1,010",956,50,5%,0.946534653
E02000965,Westminster 006,E01004676,Westminster 006A,830,809,20,2%,0.974698795
E02000965,Westminster 006,E01004706,Westminster 006B,780,749,30,4%,0.96025641
E02000965,Westminster 006,E01004707,Westminster 006C,870,862,10,1%,0.990804598
