gas_dome,gas_non_dome,gas_total,pop,households,0_15,16_19,20_29,30_39,40_49,50_74,75_,ce_pop,gdp,temp,one,children,other,size
1275,3311,4586,197049,101942.2,26746,6232,44506,42099,23801,42613,11052,6280,2198589.11,10.34,50692.14,17032.06,34217.98,2.37
1272.5,3574.88,4847.37,201788.67,103400.7,26930,6954,46535,43434,24465,42475,10995.67,6311.33,2246492.13,11.03,50923.45,17502,34975.28,2.37
1267,3925,5193,204699.51,104227.2,27327,7096,47262,44352,25308,42339,11015.51,6309.49,2321117.94,10.85,50918.61,17848.33,35460.27,2.37
1284.52,3248.82,4533.33,208251.41,105506.3,27764,6336,49208,45733,26407,41860,10943.41,6305.59,2374185.15,10.76,51029.8,18338.21,36138.32,2.38
1258,3101,4359,216824,109234.4,28386,6365,52807,48264,27833,42211,10957.66,6308.34,2444358.75,10.69,52937.56,18094.14,38202.75,2.38
1224,3115,4339,216519,109189.3,28737,5514,51846,48647,28505,42258,11011.5,6310.5,2510204.89,11.24,52830.9,17812.52,38545.91,2.38
1197,2887,4084,214310,107898.1,29457,4870,49758,47875,29095,42295,10959.78,6309.22,2569458.83,10.96,51615.69,18268.1,38014.28,2.38
1165,3108,4274,212365,106712.3,29873,5013,47219,47442,29452,42404,10962.43,6307.57,2562297.04,10.42,50349.35,18907.47,37455.43,2.38
1100,2689,3788,210670,105723.5,30510,5327,43696,47171,30206,42771,10988.91,6310.09,2456885.43,10.56,49213.22,19609.39,36900.89,2.38
1098,2813,3911,210879,104776.7,31723,5994,41832,46756,30514,43104,10956.32,6307.68,2507842.49,9.37,48439.64,19608.58,36728.47,2.38
1038,2683,3721,213394,104930.8,32630,6619,42106,46955,30449,43658,10977,6188,2539835.25,11.17,48130.15,19728.18,37072.44,2.37
1015,2711,3726,217536,106000.2,34301,7108,41014,47936,31269,44716,11192.09,6200.91,2576163.59,10.23,48255.88,20159.03,37585.34,2.37
1004,2714,3718,219087,107200.3,35522,6332,38361,48737,32264,46277,11593.9,6219.1,2632482.84,9.98,48408.43,20630.24,38161.59,2.37
982,2606.95,3588.95,223659,109151.3,36769.01,6622,37429,49488,33182,48049,12120.25,6239.75,2707843.68,11.49,48914.61,21197.02,39039.64,2.37
970.1,2500.2,3470.3,231797,112093.9,38465.01,7377,38640,50312,34375,50184,12444.44,6249.56,2771831.91,10.92,49815.85,21944.47,40333.6,2.37
966.5,2496.3,3462.8,235709,113468.3,39694.01,7778,37743,50721,34992,52065,12715.67,6265.33,2819573.55,10.79,50059.98,22368.96,41039.34,2.37
980,2647.4,3627.5,238511,114609,40615.01,7850,36595,50460,35627,54235,13128.72,6285.27,2868642.85,11.02,50195.64,22765.56,41647.83,2.37
979.6,2621.9,3601.5,249016,118440.3,42729.01,8533,39568,51108,36575,56949,13553.79,6308.2,2904575.2,11.18,51438.89,23632.21,43369.18,2.37
989.3,2408.6,3397.9,253687,120271.3,43785.37,8855.84,39908.55,50663.72,37418.98,58978.8,14075.37,6330.53,2946234.55,10.86,51846.79,24093.71,44330.79,2.37
977.6,2212,3189.6,257686.45,121822.7,44566.79,9141.7,40227.82,49936.87,38251.39,60915.72,14646.15,6352.59,2656128.54,11.4,52137.36,24491.43,45193.92,2.36
,,,291397.54,133662.7,42119.35,11169.9,43885,45590,36963.93,84115,30360,6904.6,3800457,10.73,49710.24,26509.42,57443.04,2.26
,,,291397.54,133662.7,42119.35,11169.9,43885,45590,36963.93,84115,30360,6904.6,3800457,11.23,49710.24,26509.42,57443.04,2.26
