POSTCODE,VCODE
NW1 0AB,VNW00001
NW1 0HN,VNW00001
NW1 0AD,VNW00002
NW1 0LT,VNW00002
NW1 0AD,VNW00003
NW1 0LT,VNW00003
NW1 0AP,VNW00004
NW1 0ND,VNW00004
NW1 0AP,VNW00005
NW1 0NE,VNW00005
NW1 0AP,VNW00006
NW1 0NE,VNW00006
NW1 0AS,VNW00007
NW1 0NE,VNW00007
NW1 0AS,VNW00008
NW1 0AT,VNW00008
NW1 0AY,VNW00009
NW1 0ND,VNW00009
NW1 0BA,VNW00010
NW1 0HT,VNW00010
NW1 0EX,VNW00011
NW1 0EY,VNW00011
NW1 0JE,VNW00013
NW1 0JZ,VNW00013
NW1 0JH,VNW00014
NW1 0JP,VNW00014
NW1 0JL,VNW00015
NW1 0JP,VNW00015
NW1 0JR,VNW00016
NW1 0LT,VNW00016
NW1 0LU,VNW00017
NW1 0ND,VNW00017
NW1 0NE,VNW00019
NW1 0NG,VNW00019
NW1 0NH,VNW00020
NW1 0TU,VNW00020
NW1 0NT,VNW00021
NW1 0NY,VNW00021
NW1 0PT,VNW00022
NW1 0RW,VNW00022
NW1 0QG,VNW00023
NW1 0TB,VNW00023
NW1 0RP,VNW00024
NW1 0RW,VNW00024
NW1 0SF,VNW00025
NW1 0SG,VNW00025
NW1 0TE,VNW00026
NW1 0TF,VNW00026
NW1 0TJ,VNW00027
NW1 0TL,VNW00027
NW1 1AA,VNW00028
NW1 1AR,VNW00028
NW1 2RS,VNW00028
NW1 1AD,VNW00029
NW1 1DB,VNW00029
NW1 1AS,VNW00030
NW1 1QP,VNW00030
NW1 1SR,VNW00030
NW1 1BD,VNW00032
NW1 1TN,VNW00032
NW1 1ZW,VNW00032
NW1 1BJ,VNW00033
NW1 1NU,VNW00033
NW1 1BP,VNW00034
NW1 1BS,VNW00034
NW1 1BR,VNW00035
NW1 1DT,VNW00035
NW1 1BY,VNW00036
NW1 1TA,VNW00036
NW1 1BY,VNW00037
NW1 1LY,VNW00037
NW1 1DA,VNW00038
NW1 1LH,VNW00038
NW1 1DD,VNW00039
NW1 1DE,VNW00039
NW1 1DH,VNW00040
NW1 2DH,VNW00040
NW1 1DJ,VNW00041
NW1 1DT,VNW00041
NW1 1EE,VNW00043
NW1 1EL,VNW00043
NW1 1EL,VNW00044
NW1 1HQ,VNW00044
NW1 1EP,VNW00045
NW1 1ER,VNW00045
NW1 1DX,VNW00047
NW1 1EL,VNW00047
NW1 1EY,VNW00047
NW1 1EZ,VNW00050
NW1 1HN,VNW00050
NW1 1HP,VNW00050
NW1 1HR,VNW00050
NW1 1JB,VNW00050
NW1 1JL,VNW00050
NW1 1EZ,VNW00051
NW1 1JH,VNW00051
NW1 1JJ,VNW00051
NW1 1JL,VNW00051
NW1 1HL,VNW00052
NW1 1HW,VNW00052
NW1 1HY,VNW00053
NW1 1LJ,VNW00053
NW1 1HY,VNW00054
